Date,Confirmed
2020-10-08,36570261
2020-10-09,36930411
2020-10-10,37284125
2020-10-11,37571924
2020-10-12,37866809
2020-10-13,38185792
2020-10-14,38567316
2020-10-15,38975891
2020-10-16,39385413
2020-10-17,39754739
2020-10-18,40084144
2020-10-19,40462665
2020-10-20,40852810
2020-10-21,41296549
2020-10-22,41771959
2020-10-23,42268398
2020-10-24,42720137
2020-10-25,43078448
2020-10-26,43565341
2020-10-27,44033715
2020-10-28,44554438
2020-10-29,45106757
2020-10-30,45679447
2020-10-31,46148799
2020-11-01,46583380
2020-11-02,47143342
2020-11-03,47697461
2020-11-04,48203842
2020-11-05,48824794
2020-11-06,49444668
2020-11-07,50037343
2020-11-08,50523407
2020-11-09,51027518
2020-11-10,51606121
2020-11-11,52232867
2020-11-12,52877420
2020-11-13,53536989
2020-11-14,54117079
2020-11-15,54592648
2020-11-16,55122235
2020-11-17,55732893
2020-11-18,56361032
2020-11-19,57016061
2020-11-20,57689072
2020-11-21,58275974
2020-11-22,58762388
2020-11-23,59296839
2020-11-24,59889937
2020-11-25,60521047
2020-11-26,61113459
2020-11-27,61804708
2020-11-28,62406909
2020-11-29,62889293
2020-11-30,63396692
2020-12-01,64020520
2020-12-02,64667284
2020-12-03,65359442
2020-12-04,66048139
2020-12-05,66697073
2020-12-06,67233372
2020-12-07,67761012
2020-12-08,68404265
2020-12-09,69078994
2020-12-10,70581941
2020-12-11,71289063
2020-12-12,71930509
2020-12-13,72464731
2020-12-14,73008121
2020-12-15,73671646
2020-12-16,74396850
2020-12-17,75137992
2020-12-18,75861914
2020-12-19,76481258
2020-12-20,77018969
2020-12-21,77571656
2020-12-22,78237608
2020-12-23,78930412
2020-12-24,79618583
2020-12-25,80107778
2020-12-26,80623139
2020-12-27,81034531
2020-12-28,81536330
2020-12-29,82209974
2020-12-30,82946778
2020-12-31,83774402
2021-01-01,84348557
2021-01-02,84937731
2021-01-03,85458608
2021-01-04,86017453
2021-01-05,86762486
2021-01-06,87559389
2021-01-07,88450696
2021-01-08,89274978
2021-01-09,90029608
2021-01-10,90617533
2021-01-11,91230420
2021-01-12,91935388
2021-01-13,92685881
2021-01-14,93442069
2021-01-15,94215587
2021-01-16,94867362
2021-01-17,95394621
2021-01-18,95914072
2021-01-19,96505715
2021-01-20,97206815
2021-01-21,97862784
2021-01-22,98526909
2021-01-23,99099892
2021-01-24,99561014
2021-01-25,100041930
2021-01-26,100605247
2021-01-27,101209724
2021-01-28,101819912
2021-01-29,102411417
2021-01-30,102930651
2021-01-31,103317823
2021-02-01,103760998
2021-02-02,104228576
2021-02-03,104755402
2021-02-04,105226510
2021-02-05,105761888
2021-02-06,106195358
2021-02-07,106546263
2021-02-08,106885753
2021-02-09,107294011
2021-02-10,107736203
2021-02-11,108180004
2021-02-12,108610397
2021-02-13,108989401
2021-02-14,109297022
2021-02-15,109578213
2021-02-16,109939461
2021-02-17,110327835
2021-02-18,110738339
2021-02-19,111148568
2021-02-20,111522202
2021-02-21,111840137
2021-02-22,112135255
2021-02-23,112529809
2021-02-24,112977347
2021-02-25,113430414
2021-02-26,113872385
2021-02-27,114268107
2021-02-28,114575419
2021-03-01,114881068
2021-03-02,115196281
2021-03-03,115640579
2021-03-04,116098780
2021-03-05,116548043
2021-03-06,116961346
2021-03-07,117334182
2021-03-08,117638018
2021-03-09,118054816
2021-03-10,118525481
2021-03-11,119006358
2021-03-12,119496524
2021-03-13,119949146
2021-03-14,120311862
2021-03-15,120666867
2021-03-16,121137105
2021-03-17,121687922
2021-03-18,122235326
2021-03-19,122797279
2021-03-20,123293429
2021-03-21,123728582
2021-03-22,124150681
2021-03-23,124671547
2021-03-24,125308987
2021-03-25,125960342
2021-03-26,126599934
2021-03-27,127181417
2021-03-28,127657107
2021-03-29,128118009
2021-03-30,128693354
2021-03-31,129375651
2021-04-01,130084593
2021-04-02,130722413
2021-04-03,131248022
2021-04-04,131804888
2021-04-05,132299854
2021-04-06,132906868
2021-04-07,133591750
2021-04-08,134434602
2021-04-09,135180236
2021-04-10,135845536
2021-04-11,136538219
2021-04-12,137151574
2021-04-13,137934885
2021-04-14,138756320
2021-04-15,139572595
2021-04-16,140427976
2021-04-17,141217512
2021-04-18,141898821
2021-04-19,142593070
2021-04-20,143454255
2021-04-21,144342826
2021-04-22,145245078
2021-04-23,146147604
2021-04-24,146962541
2021-04-25,147687254
2021-04-26,148369903
2021-04-27,149224392
2021-04-28,150128995
2021-04-29,151022162
2021-04-30,151903813
2021-05-01,152697844
2021-05-02,153377003
2021-05-03,154063764
2021-05-04,154865650
2021-05-05,155712161
2021-05-06,156581109
2021-05-07,157412445
2021-05-08,158198317
2021-05-09,158834577
2021-05-10,159460694
2021-05-11,160200141
2021-05-12,160959514
2021-05-13,161691161
2021-05-14,162399934
2021-05-15,163030839
2021-05-16,163575699
2021-05-17,164119293
2021-05-18,164742280
2021-05-19,165415799
2021-05-20,165696211
2021-05-21,166321855
2021-05-22,166893546
2021-05-23,167372725
2021-05-24,167823428
2021-05-25,168358345
2021-05-26,168928694
2021-05-27,169476479
2021-05-28,169980845
2021-05-29,170460318
2021-05-30,170849417
2021-05-31,171236268
2021-06-01,171697591
2021-06-02,172185384
2021-06-03,172665178
2021-06-04,173090168
2021-06-05,173486882
2021-06-06,173809524
2021-06-07,174131606
2021-06-08,174503356
2021-06-09,174921885
2021-06-10,175375061
2021-06-11,175797202
2021-06-12,176165230
2021-06-13,176467641
2021-06-14,176777160
2021-06-15,177152695
2021-06-16,177541583
2021-06-17,177937265
2021-06-18,178340631
2021-06-19,178688824
2021-06-20,178991853
2021-06-21,179288703
2021-06-22,179699093
2021-06-23,180096212
2021-06-24,180504879
2021-06-25,180922617
2021-06-26,181285627
2021-06-27,181596352
2021-06-28,181929601
2021-06-29,182310695
2021-06-30,182709929
2021-07-01,183145352
2021-07-02,183587694
2021-07-03,183961737
2021-07-04,184289611
2021-07-05,184666270
2021-07-06,185117612
2021-07-07,185582536
2021-07-08,186064183
2021-07-09,186577970
2021-07-10,186999469
2021-07-11,187369610
2021-07-12,187802674
2021-07-13,188328789
2021-07-14,188866911
2021-07-15,189442951
2021-07-16,190038277
2021-07-17,190527873
2021-07-18,190949110
2021-07-19,191436765
2021-07-20,191969396
2021-07-21,192524458
2021-07-22,193089703
2021-07-23,193817663
2021-07-24,194249124
2021-07-25,194694268
2021-07-26,195234348
2021-07-27,195841332
2021-07-28,196491195
2021-07-29,197134134
2021-07-30,197865966
2021-07-31,198382286
2021-08-01,198864192
2021-08-02,199436347
2021-08-03,200070577
2021-08-04,200751519
2021-08-05,201436132
2021-08-06,202255117
2021-08-07,202815636
2021-08-08,203282470
2021-08-09,203903239
2021-08-10,204549282
2021-08-11,205278877
2021-08-12,205985552
2021-08-13,206786592
2021-08-14,207338163
2021-08-15,207804576
2021-08-16,208470390
2021-08-17,209152213
2021-08-18,209887809
2021-08-19,210598807
2021-08-20,211384631
2021-08-21,211939280
2021-08-22,212387858
2021-08-23,213075611
2021-08-24,213763710
2021-08-25,214496072
2021-08-26,215235283
2021-08-27,215976500
2021-08-28,216534771
2021-08-29,216980548
2021-08-30,217647325
2021-08-31,218281783
2021-09-01,219007849
2021-09-02,219681095
2021-09-03,220395705
2021-09-04,220891084
2021-09-05,221333416
2021-09-06,221781454
2021-09-07,222483085
2021-09-08,223112610
2021-09-09,223759799
2021-09-10,224399434
2021-09-11,224863866
2021-09-12,225236948
2021-09-13,225824292
2021-09-14,226374689
2021-09-15,226945548
2021-09-16,227529687
2021-09-17,228151665
2021-09-18,228677217
2021-09-19,229042836
2021-09-20,229568190
2021-09-21,230055414
2021-09-22,230595800
2021-09-23,231141508
2021-09-24,231691740
2021-09-25,232069427
2021-09-26,232426729
2021-09-27,232902063
2021-09-28,233356614
2021-09-29,233847239
2021-09-30,234336384
2021-10-01,234857510
2021-10-02,235211398
2021-10-03,235523281
2021-10-04,235961725
2021-10-05,236387498
2021-10-06,236895796
2021-10-07,237356960
2021-10-08,237832640
2021-10-09,238176954
2021-10-10,238496841
2021-10-11,238874688
2021-10-12,239316538
2021-10-13,239774418
2021-10-14,240227148
2021-10-15,240686429
2021-10-16,241034116
2021-10-17,241351751
2021-10-18,241765489
2021-10-19,242212618
2021-10-20,242690924
2021-10-21,243154582
2021-10-22,243643371
2021-10-23,244014989
2021-10-24,244331381
2021-10-25,244758937
2021-10-26,245208511
2021-10-27,245728586
2021-10-28,246192439
2021-10-29,246701404
2021-10-30,247090723
2021-10-31,247436506
2021-11-01,247857505
2021-11-02,248283662
2021-11-03,248821928
2021-11-04,249345774
2021-11-05,249866490
2021-11-06,250293431
2021-11-07,250642877
2021-11-08,251120353
2021-11-09,251608667
2021-11-10,252197778
2021-11-11,252716200
2021-11-12,253312064
2021-11-13,253741862
2021-11-14,254105330
2021-11-15,254643906
2021-11-16,255170737
2021-11-17,255804910
2021-11-18,256420126
2021-11-19,257040600
2021-11-20,257521591
2021-11-21,257925142
2021-11-22,258544959
2021-11-23,259157848
2021-11-24,259830945
2021-11-25,260427667
2021-11-26,261026360
2021-11-27,261487110
2021-11-28,261895811
2021-11-29,262549453
2021-11-30,263172769
2021-12-01,263885668
2021-12-02,264592077
2021-12-03,265309258
2021-12-04,265822665
2021-12-05,266261982
2021-12-06,266853198
2021-12-07,267550522
2021-12-08,268221203
2021-12-09,268948767
2021-12-10,269636799
2021-12-11,270135754
2021-12-12,270574955
2021-12-13,271200904
2021-12-14,271860271
2021-12-15,272605217
2021-12-16,273342506
2021-12-17,274074962
2021-12-18,274656025
2021-12-19,275137226
2021-12-20,275881949
2021-12-21,276679168
2021-12-22,277586091
2021-12-23,278583058
2021-12-24,279439036
2021-12-25,280132349
2021-12-26,280710976
2021-12-27,281992183
2021-12-28,283323220
2021-12-29,285047408
2021-12-30,286987906
2021-12-31,288702876
2022-01-01,289897480
2022-01-02,290809279
2022-01-03,293232012
2022-01-04,295756898
2022-01-05,298321568
